regime,is_holdout,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,med_valid_rate,n
log_slow,0,0.1,neville_3,50000.0,0.41863546463489004,167.76279139354742,1743.966399961591,0.2667,3
log_slow,0,0.1,neville_4,50000.0,0.41863546463489004,0.04327244654553644,0.4214339242729653,0.0,3
log_slow,0,0.1,anderson_1,50000.0,0.41863546463489004,0.10255891119064683,1.0172040096347548,1.0,3
log_slow,0,0.1,anderson_2,50000.0,0.41863546463489004,0.10243459248715533,1.0158387818392318,1.0,3
log_slow,0,0.1,anderson_3,50000.0,0.41863546463489004,0.10230598310830177,1.0156286523080686,1.0,3
log_slow,0,0.1,median_ensemble,50000.0,0.41863546463489004,0.09985044678887056,1.0084290076949913,1.0,3
log_slow,0,0.1,stability_weighted,50000.0,0.41863546463489004,0.06433537214244334,0.634762028364227,1.0,3
log_slow,0,0.1,best_shanks_wynn,50000.0,0.41863546463489004,0.10113765673338954,1.01722961352184,1.0,3
log_slow,0,0.1,constant_assumed,50000.0,0.41863546463489004,0.1280493439962614,1.249701505199361,1.0,3
log_slow,0,0.1,constant_oracle,50000.0,0.41863546463489004,0.07393829701292087,0.7282678354122811,1.0,3
log_slow,0,0.1,window_mean,50000.0,0.41863546463489004,0.12189501409949946,1.2005147607785644,1.0,3
log_slow,0,0.1,window_min,50000.0,0.41863546463489004,0.10216976035015425,1.0,1.0,3
log_slow,0,0.1,last_value,50000.0,0.41863546463489004,0.10267907838647497,1.014328072020298,1.0,3
log_slow,0,0.02,current_value,50000.0,0.41863546463489004,0.10267907838647497,1.014328072020298,1.0,3
log_slow,0,0.02,linear,50000.0,0.41863546463489004,,,0.0,3
log_slow,0,0.02,log_linear,50000.0,0.41863546463489004,0.05659322237777939,0.5560659789024358,1.0,3
log_slow,0,0.02,geom_avg_diff,50000.0,0.41863546463489004,0.10300565106738227,1.03273606626962,0.5667,3
log_slow,0,0.02,richardson_1,50000.0,0.41863546463489004,0.021472303194776797,0.21105774642629954,1.0,3
log_slow,0,0.02,richardson_2,50000.0,0.41863546463489004,0.05108021081779722,0.5131162043438766,1.0,3
log_slow,0,0.02,richardson_3,50000.0,0.41863546463489004,0.052533914893695514,0.5154073811818827,1.0,3
log_slow,0,0.02,richardson_a05,50000.0,0.41863546463489004,0.03371087690713237,0.3373202637751299,1.0,3
log_slow,0,0.02,richardson_a10,50000.0,0.41863546463489004,0.0774620337036061,0.7636287867845895,1.0,3
log_slow,0,0.02,richardson_a20,50000.0,0.41863546463489004,0.10072966755234847,0.9921191086999983,1.0,3
log_slow,0,0.02,single_exp_fit,50000.0,0.41863546463489004,0.0898023553715421,0.8930810633821651,1.0,3
log_slow,0,0.02,double_exp_fit,50000.0,0.41863546463489004,0.08369756168069245,0.8890900477844322,1.0,3
log_slow,0,0.02,rational_fit,50000.0,0.41863546463489004,0.05848204038264623,0.5924237627738402,1.0,3
log_slow,0,0.02,log_fit,50000.0,0.41863546463489004,0.0007975496190193512,0.007924113397183085,1.0,3
log_slow,0,0.02,shanks_1,50000.0,0.41863546463489004,0.10113765673338954,1.01722961352184,1.0,3
