regime,future_idx,method,family,method_type,true_val,curr_val,estimate,error,valid,catastrophic,beats_current,improve_ratio
two_exp,150,anderson_1,anderson,limit,0.04360276,0.10894969,0.09941872,0.05581597,1,0,1,1.170757
two_exp,150,anderson_2,anderson,limit,0.04360276,0.10894969,0.09130076,0.04769801,1,0,1,1.370014
two_exp,150,anderson_3,anderson,limit,0.04360276,0.10894969,0.08430754,0.04070479,1,0,1,1.605387
two_exp,150,median_ensemble,ensemble,trajectory,0.04360276,0.10894969,0.01002144,0.03358132,1,0,1,1.945931
two_exp,150,stability_weighted,ensemble,trajectory,0.04360276,0.10894969,0.01036777,0.03323499,1,0,1,1.966209
two_exp,150,best_shanks_wynn,ensemble,limit,0.04360276,0.10894969,0.01002144,0.03358132,1,0,1,1.945931
two_exp,1000,current_value,baseline,limit,0.01000001,0.10894969,0.10894969,0.09894968,1,0,0,1.0
two_exp,1000,linear,baseline,trajectory,0.01000001,0.10894969,,,0,1,0,
two_exp,1000,log_linear,baseline,trajectory,0.01000001,0.10894969,0.01926348,0.00926347,1,0,1,10.681708
two_exp,1000,geom_avg_diff,baseline,limit,0.01000001,0.10894969,0.0100374,3.739e-05,1,0,1,2646.353278
two_exp,1000,richardson_1,richardson,trajectory,0.01000001,0.10894969,0.01778435,0.00778434,1,0,1,12.711374
two_exp,1000,richardson_2,richardson,trajectory,0.01000001,0.10894969,0.01385422,0.00385422,1,0,1,25.673095
two_exp,1000,richardson_3,richardson,trajectory,0.01000001,0.10894969,0.01385404,0.00385403,1,0,1,25.67435
two_exp,1000,richardson_a05,richardson,trajectory,0.01000001,0.10894969,-0.08003828,0.09003829,1,0,1,1.098973
two_exp,1000,richardson_a10,richardson,trajectory,0.01000001,0.10894969,0.02624783,0.01624782,1,0,1,6.090027
two_exp,1000,richardson_a20,richardson,trajectory,0.01000001,0.10894969,0.10685021,0.0968502,1,0,1,1.021678
two_exp,1000,single_exp_fit,parametric,trajectory,0.01000001,0.10894969,0.01528046,0.00528045,1,0,1,18.738861
two_exp,1000,double_exp_fit,parametric,trajectory,0.01000001,0.10894969,0.01000001,0.0,1,0,1,33811520.191429
two_exp,1000,rational_fit,parametric,trajectory,0.01000001,0.10894969,0.01152573,0.00152572,1,0,1,64.854524
two_exp,1000,log_fit,parametric,trajectory,0.01000001,0.10894969,0.11222929,0.10222928,1,0,0,0.967919
two_exp,1000,shanks_1,shanks,limit,0.01000001,0.10894969,0.01002144,2.143e-05,1,0,1,4616.977991
two_exp,1000,shanks_2,shanks,limit,0.01000001,0.10894969,0.00999999,1e-08,1,0,1,7239060.844404
two_exp,1000,shanks_3,shanks,limit,0.01000001,0.10894969,0.01,1e-08,1,0,1,13087733.322325
two_exp,1000,shanks_4,shanks,limit,0.01000001,0.10894969,0.01,1e-08,1,0,1,12976776.869347
two_exp,1000,wynn_eps_1,wynn_eps,limit,0.01000001,0.10894969,0.01002144,2.143e-05,1,0,1,4616.977992
two_exp,1000,wynn_eps_2,wynn_eps,limit,0.01000001,0.10894969,0.01,1e-08,1,0,1,12986886.871362
two_exp,1000,wynn_eps_3,wynn_eps,limit,0.01000001,0.10894969,0.01,1e-08,1,0,1,12982373.699182
two_exp,1000,wynn_rho_1,wynn_rho,limit,0.01000001,0.10894969,-0.09070408,0.10070409,1,0,0,0.982579
two_exp,1000,wynn_rho_2,wynn_rho,limit,0.01000001,0.10894969,0.12085374,0.11085374,1,0,0,0.892615
two_exp,1000,wynn_rho_3,wynn_rho,limit,0.01000001,0.10894969,0.06635546,0.05635545,1,0,1,1.755814
two_exp,1000,pade_11,pade,trajectory,0.01000001,0.10894969,-0.11840613,0.12840614,1,0,0,0.770599
two_exp,1000,pade_12,pade,trajectory,0.01000001,0.10894969,-0.01581116,0.02581117,1,0,1,3.833599
two_exp,1000,pade_13,pade,trajectory,0.01000001,0.10894969,0.00046274,0.00953726,1,0,1,10.375061
two_exp,1000,pade_21,pade,trajectory,0.01000001,0.10894969,0.49554958,0.48554957,1,0,0,0.203789
two_exp,1000,pade_22,pade,trajectory,0.01000001,0.10894969,-0.16447055,0.17447055,1,0,0,0.567143
two_exp,1000,pade_23,pade,trajectory,0.01000001,0.10894969,-0.00436281,0.01436282,1,0,1,6.889293
two_exp,1000,pade_31,pade,trajectory,0.01000001,0.10894969,6.33117275,6.32117275,1,1,0,0.015654
two_exp,1000,pade_32,pade,trajectory,0.01000001,0.10894969,0.80485456,0.79485455,1,1,0,0.124488
two_exp,1000,levin_t1,levin,limit,0.01000001,0.10894969,0.01002144,2.143e-05,1,0,1,4616.977992
two_exp,1000,levin_t2,levin,limit,0.01000001,0.10894969,0.0099374,6.261e-05,1,0,1,1580.382953
two_exp,1000,levin_u1,levin,limit,0.01000001,0.10894969,-0.15622191,0.16622192,1,0,0,0.595287
two_exp,1000,levin_u2,levin,limit,0.01000001,0.10894969,0.00983015,0.00016986,1,0,1,582.543948
two_exp,1000,levin_v1,levin,limit,0.01000001,0.10894969,0.00982661,0.0001734,1,0,1,570.656387
two_exp,1000,levin_v2,levin,limit,0.01000001,0.10894969,0.01049914,0.00049914,1,0,1,198.241723
two_exp,1000,weniger_d1,weniger,limit,0.01000001,0.10894969,-0.0,0.01000001,1,0,1,9.894961
two_exp,1000,weniger_d2,weniger,limit,0.01000001,0.10894969,0.0,0.01000001,1,0,1,9.894961
two_exp,1000,brezinski_theta1,brezinski,limit,0.01000001,0.10894969,0.00819152,0.00180849,1,0,1,54.713973
two_exp,1000,brezinski_theta2,brezinski,limit,0.01000001,0.10894969,0.02823034,0.01823033,1,0,1,5.42775
two_exp,1000,neville_2,neville,trajectory,0.01000001,0.10894969,-0.06291755,0.07291755,1,0,1,1.357008
two_exp,1000,neville_3,neville,trajectory,0.01000001,0.10894969,-0.04252705,0.05252706,1,0,1,1.883785
