regime,obs_idx,noise,future_idx,richardson_stability,richardson_rank,best_method,best_stability,stability_margin,richardson_wins
multiphase,20,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,20,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,20,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,20,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,20,0.02,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,30,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,30,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,30,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,30,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,30,0.02,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,40,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,40,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,40,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,40,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,40,0.02,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,50,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,50,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,50,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,50,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,50,0.02,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,60,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,60,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,60,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,60,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,60,0.02,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,70,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,70,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,70,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,70,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,70,0.02,5000,1.4,4,log_linear,1.4,0.0,0
multiphase,80,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,80,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,80,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,80,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,80,0.02,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,90,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,90,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,90,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,90,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,90,0.02,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,100,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,100,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,100,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,100,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,100,0.02,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,110,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,110,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,110,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,110,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,110,0.02,5000,1.38,4,log_linear,1.4,0.02,0
multiphase,120,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,120,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,120,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,120,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,120,0.02,5000,1.4,4,log_linear,1.4,0.0,0
multiphase,130,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,130,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,130,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,130,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,130,0.02,5000,1.4,4,log_linear,1.4,0.0,0
multiphase,140,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
multiphase,140,0.003,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,140,0.005,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,140,0.01,5000,1.4,5,log_linear,1.4,0.0,0
multiphase,140,0.02,5000,1.4,4,log_linear,1.4,0.0,0
noisy_plateau,20,0.0,5000,1.4,2,log_linear,1.4,0.0,0
noisy_plateau,20,0.003,5000,1.34,2,log_linear,1.4,0.06,0
noisy_plateau,20,0.005,5000,1.38,2,log_linear,1.4,0.02,0
noisy_plateau,20,0.01,5000,1.2,1,richardson_1,1.2,0.0,1
noisy_plateau,20,0.02,5000,1.26,1,richardson_1,1.26,0.0,1
noisy_plateau,30,0.0,5000,1.06,1,richardson_1,1.06,0.0,1
noisy_plateau,30,0.003,5000,1.02,1,richardson_1,1.02,0.0,1
noisy_plateau,30,0.005,5000,1.12,2,anderson_1,1.22,0.1,0
noisy_plateau,30,0.01,5000,0.9,4,anderson_1,1.02,0.12,0
noisy_plateau,30,0.02,5000,0.9,4,single_exp_fit,1.2,0.3,0
noisy_plateau,40,0.0,5000,0.92,4,anderson_1,1.18,0.26,0
noisy_plateau,40,0.003,5000,0.94,4,anderson_1,1.12,0.18,0
noisy_plateau,40,0.005,5000,0.76,4,anderson_1,1.08,0.32,0
noisy_plateau,40,0.01,5000,0.84,3,single_exp_fit,1.24,0.4,0
noisy_plateau,40,0.02,5000,0.76,4,current_value,1.0,0.24,0
noisy_plateau,50,0.0,5000,0.54,5,current_value,1.0,0.46,0
noisy_plateau,50,0.003,5000,0.54,5,single_exp_fit,1.2,0.66,0
noisy_plateau,50,0.005,5000,0.56,4,anderson_1,1.08,0.52,0
noisy_plateau,50,0.01,5000,0.84,5,anderson_1,1.24,0.4,0
noisy_plateau,50,0.02,5000,0.02,5,single_exp_fit,1.02,1.0,0
