regime,obs_idx,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,n
log_slow,40,0.1,current_value,50000.0,0.3470134055140294,0.13913213726438436,1.3475577956528435,5
log_slow,40,0.1,richardson_1,50000.0,0.3470134055140294,0.05847913466954196,0.5423806185552209,5
log_slow,40,0.1,richardson_a10,50000.0,0.3470134055140294,0.16281118371111752,1.5849452822526084,5
log_slow,40,0.1,single_exp_fit,50000.0,0.3470134055140294,0.15401611036526813,1.498566042597861,5
log_slow,40,0.1,rational_fit,50000.0,0.3470134055140294,0.10187394992919273,0.9889421160943366,5
log_slow,40,0.1,pade_22,50000.0,0.3470134055140294,0.09052412150879732,0.8811784719405464,5
log_slow,40,0.1,log_linear,50000.0,0.3470134055140294,0.06782492743351104,0.6628511706997836,5
log_slow,40,0.1,weniger_d2,50000.0,0.3470134055140294,0.10275805732146302,1.0,5
log_slow,40,0.1,anderson_1,50000.0,0.3470134055140294,0.13748978222597147,1.3676721427305234,5
log_slow,40,0.1,constant_assumed,50000.0,0.3470134055140294,0.10275805732146302,1.0,5
log_slow,40,0.1,constant_oracle,50000.0,0.3470134055140294,0.07393829701292087,0.7198766563413626,5
log_slow,40,0.02,current_value,50000.0,0.3470134055140294,0.13913213726438436,1.3475577956528435,5
log_slow,40,0.02,richardson_1,50000.0,0.3470134055140294,0.05847913466954196,0.5423806185552209,5
log_slow,40,0.02,richardson_a10,50000.0,0.3470134055140294,0.16281118371111752,1.5849452822526084,5
log_slow,40,0.02,single_exp_fit,50000.0,0.3470134055140294,0.15401611036526813,1.498566042597861,5
log_slow,40,0.02,rational_fit,50000.0,0.3470134055140294,0.10187394992919273,0.9889421160943366,5
log_slow,40,0.02,pade_22,50000.0,0.3470134055140294,0.09052412150879732,0.8811784719405464,5
log_slow,40,0.02,log_linear,50000.0,0.3470134055140294,0.06782492743351104,0.6628511706997836,5
log_slow,40,0.02,weniger_d2,50000.0,0.3470134055140294,0.10275805732146302,1.0,5
log_slow,40,0.02,anderson_1,50000.0,0.3470134055140294,0.13748978222597147,1.3676721427305234,5
log_slow,40,0.02,constant_assumed,50000.0,0.3470134055140294,0.10275805732146302,1.0,5
log_slow,40,0.02,constant_oracle,50000.0,0.3470134055140294,0.07393829701292087,0.7198766563413626,5
log_oscillatory,40,0.1,current_value,50000.0,0.30497849550050343,0.13981288750615486,1.320304549650672,5
