assumed_mode,method,target_g,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
oracle,constant_assumed,0.5,core,0,1.0,0.0111,0.0579106984855413,1.0408796912869998,1080,1.0,0.0,0.9899,0.7139,0.5532,0.8889,1.0109,0.4815
oracle,constant_assumed,0.5,holdout,0,1.0,0.0167,0.042288065521957505,1.039611750880959,360,1.0,0.0,0.9876,0.7389,0.4208,1.0,1.0184,0.4806
oracle,richardson_1,0.1,core,120,1.0,0.101,0.030874141021524932,4.6674802941386595,960,4.5762,0.1531,0.3897,0.799,0.2585,0.8365,0.3857,0.7823
oracle,richardson_1,0.1,holdout,3,1.0,0.0084,0.014890727457152128,2.3277689068902387,357,2.3278,0.2129,0.2565,0.7927,0.1614,0.9804,0.3211,0.7367
oracle,richardson_2,0.1,core,120,0.9917,0.1,0.02628213796942286,4.930276803490731,960,4.7428,0.1625,0.3986,0.7781,0.2308,0.8083,0.3926,0.7729
oracle,richardson_2,0.1,holdout,3,1.0,0.0112,0.017324360614272574,2.268659746003146,357,2.1888,0.2325,0.23,0.8011,0.1617,0.9692,0.2968,0.7311
oracle,richardson_3,0.1,core,120,0.9823,0.1167,0.02246426420987558,4.1018614985138395,960,4.0027,0.1698,0.3801,0.7583,0.2232,0.774,0.3946,0.7562
oracle,richardson_3,0.1,holdout,3,0.9888,0.028,0.01607841431233878,2.0244174924685763,357,2.0244,0.2549,0.2151,0.7787,0.1409,0.9412,0.2848,0.7283
oracle,single_exp_fit,0.1,core,120,1.0,0.0146,0.03778491316696095,6.390387909450341,960,6.0984,0.1271,0.6154,0.9198,0.4583,0.876,0.6644,0.8125
oracle,single_exp_fit,0.1,holdout,3,1.0,0.0168,0.027737242783770835,5.388021775301395,357,5.3622,0.0392,0.5748,0.9104,0.3408,0.9804,0.6448,0.7927
oracle,double_exp_fit,0.1,core,120,0.9854,0.0281,0.024625609152106313,5.781161027409235,960,5.5319,0.1521,0.4536,0.8708,0.3603,0.8719,0.4298,0.774
oracle,double_exp_fit,0.1,holdout,3,1.0,0.0168,0.02397555380714675,4.925856922940649,357,4.9242,0.0476,0.5089,0.8796,0.2965,0.9692,0.6386,0.7675
oracle,rational_fit,0.1,core,120,1.0,0.024,0.028951977248410914,4.689033590055036,960,4.4956,0.1344,0.3345,0.851,0.21,0.8323,0.3193,0.7802
oracle,rational_fit,0.1,holdout,3,1.0,0.0084,0.01141374458832499,2.0215023004070534,357,2.0215,0.2745,0.2197,0.8179,0.1429,0.9804,0.2419,0.7647
oracle,log_fit,0.1,core,120,1.0,0.0271,0.06840894978626044,7.5767350767282045,960,6.8581,0.0531,0.6613,0.675,0.5391,0.9104,0.7848,0.5896
oracle,log_fit,0.1,holdout,3,1.0,0.0028,0.05038851415348333,7.570714540644317,357,7.5669,0.056,0.8501,0.5966,0.5426,0.9888,0.993,0.5042
oracle,log_linear,0.1,core,120,0.7625,0.2385,0.01624262729679546,2.6081865488274993,960,2.5729,0.2781,0.2749,0.7604,0.1026,0.7625,0.3094,0.749
oracle,log_linear,0.1,holdout,3,0.9244,0.0756,0.014159027420126709,2.210787627611621,357,2.0897,0.2381,0.2255,0.9216,0.1147,0.9244,0.2688,0.8796
oracle,stability_weighted,0.1,core,120,1.0,0.025,0.045387188382900345,8.530181931470418,960,8.1946,0.0677,0.8515,0.6583,0.5652,0.8646,0.9997,0.5
oracle,stability_weighted,0.1,holdout,3,1.0,0.0168,0.03049701418460556,6.774911814238906,357,6.7749,0.0196,0.7123,0.7535,0.3362,0.9636,0.8725,0.5714
oracle,median_ensemble,0.1,core,120,1.0,0.0146,0.04567272967426278,8.763387901573182,960,8.7359,0.0792,0.9318,0.6781,0.6037,0.8823,1.0148,0.4469
oracle,median_ensemble,0.1,holdout,3,1.0,0.0084,0.02618840389853533,7.5030537229640295,357,7.3946,0.0672,0.779,0.7787,0.3545,0.9916,1.0227,0.4538
oracle,constant_assumed,0.1,core,120,1.0,0.0021,0.00772632880894808,1.0,960,1.0,0.0,0.1107,0.9948,0.0742,1.0,0.1131,0.9458
oracle,constant_assumed,0.1,holdout,3,1.0,0.0,0.008442325403221396,1.0,357,1.0,0.0,0.1101,0.9944,0.0619,1.0,0.1138,0.9776
double,richardson_1,0.5,core,0,1.0,0.0407,0.017347080808812462,0.6536051616220917,1080,0.3072,0.7574,0.3764,0.7741,0.2259,0.8657,0.4347,0.7454
double,richardson_1,0.5,holdout,0,1.0,0.0083,0.010435951039133001,0.47941296148180645,360,0.3483,0.7361,0.2791,0.7861,0.1434,0.9972,0.3119,0.725
double,richardson_2,0.5,core,0,0.9917,0.087,0.015909669627597156,0.7014575262364027,1080,0.3069,0.75,0.3912,0.7787,0.2169,0.837,0.4173,0.7481
double,richardson_2,0.5,holdout,0,0.9972,0.0111,0.008116926798599829,0.4481057478877414,360,0.2816,0.775,0.2536,0.7806,0.113,0.9861,0.2907,0.7361
double,richardson_3,0.5,core,0,0.9796,0.088,0.01624109259303134,0.7587058110394778,1080,0.322,0.738,0.3807,0.7722,0.213,0.8185,0.425,0.7389
double,richardson_3,0.5,holdout,0,0.9889,0.025,0.008639034187402826,0.41931225343969064,360,0.2759,0.7528,0.2367,0.7528,0.1105,0.9639,0.2717,0.7111
double,single_exp_fit,0.5,core,0,1.0,0.0148,0.021626429866090993,1.0000000001173572,1080,0.4563,0.6944,0.4705,0.863,0.3309,0.8602,0.4785,0.7713
double,single_exp_fit,0.5,holdout,0,1.0,0.025,0.014919100950440559,0.9105335804609509,360,0.477,0.6639,0.5525,0.875,0.1885,0.9722,0.6228,0.7722
double,double_exp_fit,0.5,core,0,0.987,0.0296,0.017610123385436924,0.9582409060853216,1080,0.3115,0.7519,0.4086,0.8519,0.3175,0.8583,0.4432,0.7731
double,double_exp_fit,0.5,holdout,0,1.0,0.025,0.012694108985851348,0.8695603226802048,360,0.313,0.6778,0.5525,0.875,0.1789,0.975,0.6112,0.7778
double,rational_fit,0.5,core,0,1.0,0.0222,0.01667450063086185,0.7375059607782237,1080,0.2781,0.7852,0.3184,0.8352,0.2209,0.8537,0.3655,0.7907
double,rational_fit,0.5,holdout,0,1.0,0.0139,0.006428858457691842,0.4566100809572972,360,0.1944,0.725,0.203,0.7917,0.0984,0.9889,0.2721,0.7389
double,log_fit,0.5,core,0,1.0,0.0509,0.038547091716774215,1.4422323621994293,1080,0.6651,0.5593,0.7771,0.6176,0.5366,0.9278,0.8838,0.5519
double,log_fit,0.5,holdout,0,1.0,0.0306,0.03994218202600278,2.3735585207227574,360,1.2094,0.4861,1.0699,0.4833,0.5219,0.9972,1.4446,0.3833
double,log_linear,0.5,core,0,0.5213,0.4907,0.025320029326899016,0.7074419053523687,1080,0.6274,0.3065,0.3703,0.4981,0.2105,0.5093,0.4774,0.4741
double,log_linear,0.5,holdout,0,0.5056,0.4944,0.02554268861308444,1.0952540012215315,360,1.0609,0.2361,0.4351,0.3694,0.2192,0.5056,0.6025,0.3472
double,stability_weighted,0.5,core,0,1.0,0.0287,0.045358624512653226,1.5274942106997345,1080,0.829,0.5481,0.9394,0.6083,0.5203,0.8269,1.007,0.4972
double,stability_weighted,0.5,holdout,0,1.0,0.0167,0.028455560073315886,1.3638459769440443,360,0.6046,0.5806,0.8432,0.6667,0.2949,0.9583,1.0277,0.4806
double,median_ensemble,0.5,core,0,1.0,0.0139,0.03865195083556373,1.4284754138571374,1080,0.819,0.55,0.9391,0.6778,0.515,0.8593,1.0232,0.4731
double,median_ensemble,0.5,holdout,0,1.0,0.0111,0.02032497588615382,1.2961831098653651,360,0.6184,0.5639,0.8578,0.7417,0.2805,0.9917,1.0182,0.4833
