method,obs_idx,noise,valid_rate,n,is_trivial,is_oracle,is_dangerous
shanks_1,90,0.02,0.9979,1440,0,0,0
shanks_1,120,0.0,1.0,1440,0,0,0
shanks_1,120,0.005,1.0,1440,0,0,0
shanks_1,120,0.02,1.0,1440,0,0,0
shanks_2,30,0.0,0.9167,1440,0,0,0
shanks_2,30,0.005,1.0,1440,0,0,0
shanks_2,30,0.02,0.9979,1440,0,0,0
shanks_2,60,0.0,1.0,1440,0,0,0
shanks_2,60,0.005,0.9979,1440,0,0,0
shanks_2,60,0.02,1.0,1440,0,0,0
shanks_2,90,0.0,1.0,1440,0,0,0
shanks_2,90,0.005,1.0,1440,0,0,0
shanks_2,90,0.02,0.9979,1440,0,0,0
shanks_2,120,0.0,0.9688,1440,0,0,0
shanks_2,120,0.005,1.0,1440,0,0,0
shanks_2,120,0.02,0.9958,1440,0,0,0
shanks_3,30,0.0,0.9583,1440,0,0,0
shanks_3,30,0.005,0.9979,1440,0,0,0
shanks_3,30,0.02,1.0,1440,0,0,0
shanks_3,60,0.0,0.9583,1440,0,0,0
shanks_3,60,0.005,1.0,1440,0,0,0
shanks_3,60,0.02,0.9979,1440,0,0,0
shanks_3,90,0.0,1.0,1440,0,0,0
shanks_3,90,0.005,1.0,1440,0,0,0
shanks_3,90,0.02,0.9979,1440,0,0,0
shanks_3,120,0.0,0.9271,1440,0,0,0
shanks_3,120,0.005,0.9979,1440,0,0,0
shanks_3,120,0.02,1.0,1440,0,0,0
shanks_4,30,0.0,0.9562,1440,0,0,0
shanks_4,30,0.005,0.9979,1440,0,0,0
shanks_4,30,0.02,0.9958,1440,0,0,0
shanks_4,60,0.0,0.9583,1440,0,0,0
shanks_4,60,0.005,0.9979,1440,0,0,0
shanks_4,60,0.02,1.0,1440,0,0,0
shanks_4,90,0.0,0.9583,1440,0,0,0
shanks_4,90,0.005,1.0,1440,0,0,0
shanks_4,90,0.02,0.9979,1440,0,0,0
shanks_4,120,0.0,0.9271,1440,0,0,0
shanks_4,120,0.005,1.0,1440,0,0,0
shanks_4,120,0.02,0.9979,1440,0,0,0
single_exp_fit,30,0.0,1.0,1440,0,0,0
single_exp_fit,30,0.005,1.0,1440,0,0,0
single_exp_fit,30,0.02,1.0,1440,0,0,0
single_exp_fit,60,0.0,1.0,1440,0,0,0
single_exp_fit,60,0.005,1.0,1440,0,0,0
single_exp_fit,60,0.02,1.0,1440,0,0,0
single_exp_fit,90,0.0,1.0,1440,0,0,0
single_exp_fit,90,0.005,1.0,1440,0,0,0
single_exp_fit,90,0.02,1.0,1440,0,0,0
single_exp_fit,120,0.0,1.0,1440,0,0,0
