regime,is_holdout,target_g,n_capped_excluded,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
delayed_plateau,0,0.1,0,equal_ensemble_safe,0,0,0.241755,0.218707,4.3167,240,4.3167,0.1875,0.9852,0.7417,0.6826,1.0,1.0065,0.4458
delayed_plateau,0,0.1,0,diag_ensemble_9,0,0,0.219265,0.229392,3.4382,240,3.4268,0.1042,0.7723,0.975,0.53,0.9875,0.8366,0.9458
delayed_plateau,0,0.1,0,equal_ensemble_9,0,0,0.213775,0.197143,3.071,240,3.071,0.1417,0.7778,0.975,0.5281,1.0,0.7778,0.8958
delayed_plateau,0,0.1,0,phase2_cascade,0,0,0.190313,0.182481,2.9121,240,2.9121,0.1917,0.6185,0.975,0.4793,1.0,0.6922,0.9458
delayed_plateau,0,0.1,0,fixed_rational,0,0,0.132778,0.061453,1.769,240,1.769,0.2833,0.2871,1.0,0.2032,1.0,0.2992,1.0
delayed_plateau,0,0.1,0,fixed_richardson,0,0,0.189281,0.182481,2.9121,240,2.9121,0.2042,0.6145,0.975,0.4793,1.0,0.6869,0.9458
delayed_plateau,0,0.1,0,current_value,0,0,0.280158,0.256929,5.3743,240,5.3743,0.0375,1.0,0.0,0.6925,1.0,1.0,0.0
delayed_plateau,0,0.1,0,constant_assumed,1,0,0.07671,0.056934,1.0,240,1.0,0.0,0.1861,0.9625,0.1315,0.9875,0.1911,0.9583
delayed_plateau,0,0.1,0,constant_oracle,1,1,0.030907,0.028947,0.5929,240,0.5929,1.0,0.1102,1.0,0.0765,1.0,0.1113,1.0
delayed_plateau,0,0.1,0,window_mean,1,0,0.374374,0.38984,7.6075,240,7.6075,0.0125,1.444,0.0,1.0,0.0,1.4728,0.0
delayed_plateau,0,0.1,0,window_min,1,0,0.272044,0.23998,5.2326,240,5.2326,0.0417,1.0,0.4375,0.679,1.0,1.0,0.0
delayed_plateau,0,0.1,0,last_value,1,0,0.280158,0.256929,5.3743,240,5.3743,0.0375,1.0,0.0,0.6925,1.0,1.0,0.0
delayed_plateau,0,0.5,0,oracle_49,0,0,0.022522,0.010203,0.073,240,0.0555,1.0,0.073,1.0,0.0395,1.0,0.073,1.0
delayed_plateau,0,0.5,0,oracle_9,0,0,0.05149,0.022806,0.1839,240,0.1362,1.0,0.1697,1.0,0.0905,1.0,0.1839,1.0
delayed_plateau,0,0.5,0,threshold_ens_010,0,0,0.134642,0.121811,1.0148,240,0.7617,0.9458,0.9742,0.7125,0.5504,1.0,1.0144,0.4125
delayed_plateau,0,0.5,0,threshold_ens_050,0,0,0.134251,0.121811,1.0142,240,0.7617,0.9458,0.9748,0.7042,0.5493,1.0,1.0139,0.4167
